country,year,Corruption Commission Present in Constitution,The Bayesian Corruption Indicator,Corruption Perceptions Index Rank,Corruption Perceptions Index Score,Corruption Perceptions Index Sources,Corruption Perceptions Index Standard Error,gdp,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Confidence In National Government,trade_in_services%,control_of_corruption_estimate,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,population_density,inflation_annual%,research_and_development_expenditure%,expense%,goverment_effectiveness_estimate,individuals_using_internet%,military_expenditure%,political_stability_estimate,rule_of_law_estimate,regulatory_quality_estimate,government_expenditure_on_education%,government_health_expenditure%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,intentional_homicides
Bosnia and Herzegovina,2013,,,72.0,42.0,7.0,2.9,10867.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2014,,,80.0,39.0,6.0,1.15,11028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2015,,,76.0,38.0,6.0,1.71,11936.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2016,,,83.0,39.0,7.0,1.7,12514.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2017,,,91.0,38.0,7.0,2.56,12744.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2018,,,89.0,38.0,7.0,1.86,13359.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2019,,,101.0,36.0,7.0,1.95,14392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2020,,,111.0,35.0,7.0,1.87,14308.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2021,,,110.0,35.0,7.0,1.8,15080.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2022,,,110.0,34.0,7.0,2.18,16781.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,2012,"2,00","52,00",75.0,41.0,8.0,3.8,13363.3,Central and Eastern Europe,4.222297192,9.847709656,0.837966621,65.48000336,0.641256452,-0.178530246,0.938208699,0.342922807,21.2629886576485,-0.281460791826248,94.7266845703125,15.63,45023.1,67.2981577008106,2.95456829831022,0.600359976291656,30.9398644973766,-0.0283869281411171,51.89998767,1.32976945439704,0.379833996295929,-0.115051358938217,0.574710845947266,3.47637009620667,3.82975197,36.0,9.5,15.0,74.3146341463415,7305888.0,1974416.0,0.400915592908859,1.88292631855588
