,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
87,CYP,2015,1.01026701927185,1.0175507068634,0.971173226833344,145.462489770288,23487.228515625,34.0,15.026,0.542449116706848
88,CYP,2016,0.693160891532898,0.926266729831696,0.789454460144043,40.425813022568,24715.154296875,32.9,13.006,0.593786835670471
89,CYP,2017,0.854454517364502,0.88537871837616,0.746647298336029,62.7831017066558,26696.990234375,31.4,11.155,0.530974149703979
90,CYP,2018,0.72105348110199,0.883620500564575,0.607749342918396,-4.31101809633516,29599.986328125,32.7,8.504,0.48454225063324
91,CYP,2019,0.726727247238159,0.955758094787598,0.598950326442719,201.684997312247,29703.052734375,31.2,7.155,0.54459822177887
92,CYP,2020,0.547239065170288,0.839448511600494,0.349943220615387,-101.833102140082,28649.015625,31.7,7.755,0.288777649402618
93,CYP,2021,0.605679333209991,0.697915256023407,0.369423598051071,25.4301068406466,33734.29296875,31.3,7.513,0.422150671482086
94,CYP,2022,0.570125758647919,0.730335235595703,0.421445220708847,1.55020714842496,33938.9453125,32.8,6.807,0.423811227083206
95,CYP,2023,0.628040313720703,0.73773992061615,0.332707405090332,-26.3887486307429,36551.41796875,32.8,6.098,0.409627169370651
96,CZE,2012,1.02260160446167,0.921718597412109,0.310179650783539,4.48424380759869,20014.0354015165,26.1,6.979,1.05410611629486
97,CZE,2013,1.02387058734894,0.915809273719788,0.299111813306808,3.45386726376292,20260.4954999375,26.5,6.953,1.08477854728699
98,CZE,2014,1.13887214660645,1.03113341331482,0.429756611585617,3.83510153423089,20038.4163180257,25.9,6.108,0.989990472793579
99,CZE,2015,1.10708737373352,1.02559614181519,0.46791335940361,0.898913491904098,17931.5987670768,25.9,5.048,0.970251083374023
100,CZE,2016,0.988326966762543,1.00811576843262,0.555945515632629,5.47566421423918,18753.9686718096,25.4,3.952,0.963384211063385
101,CZE,2017,1.08858931064606,1.03059422969818,0.568141341209412,5.07066240955503,20913.197632212,24.9,2.893,0.990650773048401
102,CZE,2018,1.01980626583099,0.951154172420502,0.509728491306305,3.30353998283407,23705.9329811299,25.0,2.246,1.0264128446579
103,CZE,2019,1.01709353923798,0.919642746448517,0.533485949039459,4.18705737619005,24062.7190013343,25.3,2.015,0.941995680332184
104,CZE,2020,1.01845061779022,0.910964906215668,0.55544102191925,3.39114066226469,23472.8915454417,26.2,2.551,0.912328004837036
105,CZE,2021,1.09040725231171,1.06974017620087,0.615270674228668,4.430295245862,27696.4619527544,26.2,2.803,0.947537839412689
106,CZE,2022,1.1003965139389,1.09341883659363,0.663074553012848,3.02937517288668,28282.2236715857,25.9,2.224,0.814114570617676
107,CZE,2023,1.14218366146088,1.1140114068985,0.767809867858887,2.39661010400587,31591.1770732969,25.9,2.58,0.967361629009247
108,DEU,2012,1.66923201084137,1.53097581863403,1.81763017177582,1.8189263536368,44735.5882319701,31.1,5.372,0.775621294975281
109,DEU,2013,1.64198386669159,1.51041460037231,1.79800081253052,1.76465787052263,47220.0102098851,31.5,5.316,0.92798388004303
110,DEU,2014,1.85020470619202,1.6648246049881,1.81229484081268,0.437659919660916,48971.0824722599,30.8,4.98,0.925186455249786
111,DEU,2015,1.75914001464844,1.65639758110046,1.7758332490921,1.82321441511708,41911.0109851054,31.7,4.612,0.687514960765839
112,DEU,2016,1.58330154418945,1.66018795967102,1.78129398822784,1.64319555960592,42961.0356905775,31.4,4.104,0.667541146278381
113,DEU,2017,1.5740704536438,1.61311173439026,1.79697561264038,2.89088052868023,45526.5999576533,31.3,3.781,0.574381291866302
114,DEU,2018,1.59137535095215,1.52356374263763,1.89839863777161,4.00421026360441,48874.8595028454,31.9,3.384,0.577865242958069
115,DEU,2019,1.5813193321228,1.49534583091736,1.86510336399078,1.90698688059703,47623.8656074829,31.8,3.163,0.548539876937866
116,DEU,2020,1.52012777328491,1.31368815898895,1.82534158229828,4.48666571074036,47379.765194548,32.4,3.881,0.645049154758453
117,DEU,2021,1.5718047618866,1.28911292552948,1.7829247713089,2.34916528173016,52265.6541620571,31.5,3.594,0.725788176059723
118,DEU,2022,1.53199517726898,1.28929960727692,1.81836342811584,1.5066061525701,49686.1154582583,31.5,3.12,0.628491878509521
119,DEU,2023,1.55120778083801,1.18541669845581,1.66416621208191,0.431214646546679,54343.2265084958,31.5,3.068,0.586989283561707
120,DNK,2012,1.87506687641144,1.98699104785919,2.3824622631073,-5.00312031968255,58443.7747103968,27.8,7.798,0.914910674095154
121,DNK,2013,1.90228533744812,1.94326293468475,2.39937782287598,0.197410828523168,61377.5940590412,28.5,7.384,0.959233462810516
122,DNK,2014,2.10073828697205,1.78492867946625,2.25215744972229,1.86415567840611,62520.4509747011,28.4,6.925,0.951779723167419
123,DNK,2015,2.01513481140137,1.79474246501923,2.18585419654846,0.61075067778712,53094.0133607574,28.2,6.278,0.887059271335602
124,DNK,2016,1.88294720649719,1.82117700576782,2.20300269126892,2.49983169836595,54500.9260410217,28.2,5.989,0.852912425994873
125,DNK,2017,1.80426836013794,1.74683058261871,2.190749168396,1.08780490285887,57521.5514992225,28.7,5.833,0.854937553405762
126,DNK,2018,1.77322614192963,1.81060206890106,2.15699577331543,2.46670057625106,61324.7665045565,28.2,5.131,0.931982338428497
127,DNK,2019,1.83337736129761,1.87326776981354,2.12164855003357,-1.10067098319484,59404.2663247723,27.7,5.018,0.967598736286163
128,DNK,2020,1.80679368972778,1.8400673866272,2.23648619651794,0.36387453868222,60985.4885601514,27.5,5.637,0.920233726501465
129,DNK,2021,1.89572131633759,1.95973408222198,2.33337140083313,4.16214345185472,69727.9873677012,28.3,5.043,0.928662657737732
130,DNK,2022,1.8995805978775,1.9901350736618,2.40263819694519,7.66793351091879,68091.3191138669,28.2,4.434,0.86891770362854
131,DNK,2023,1.90893590450287,2.01564884185791,2.37605309486389,1.12428584664882,68453.8769281145,28.2,5.094,0.850847959518433
132,ESP,2012,1.03779828548431,1.05716216564178,1.17040634155273,1.56638319794926,28456.4438151477,35.4,24.789,-0.0295164491981268
133,ESP,2013,1.02537167072296,1.16768598556519,0.926990270614624,3.4608559063245,29218.9105170888,36.2,26.094,0.0120177594944835
134,ESP,2014,0.966455936431885,1.1732976436615,0.689240038394928,2.31642230011086,29694.8874886229,36.1,24.441,0.243121743202209
135,ESP,2015,0.886066854000092,1.15725028514862,0.630986750125885,1.97131692755332,25969.8383138327,36.2,22.057,0.24116013944149
136,ESP,2016,0.965352892875671,1.0948657989502,0.569826066493988,3.61722479660389,26740.6851818829,35.8,19.635,0.402214497327805
137,ESP,2017,1.02435386180878,1.00125849246979,0.510279893875122,2.54039212306224,28367.9392609439,34.7,17.224,0.270845949649811
138,ESP,2018,0.978094100952148,0.969246029853821,0.612778782844543,4.46748509754483,30592.1264795541,34.7,15.255,0.27590623497963
139,ESP,2019,0.990192174911499,0.968808770179749,0.666394531726837,2.16052375036307,29776.2011500384,34.3,14.105,0.292768746614456
140,ESP,2020,0.860964477062225,0.853928565979004,0.711801946163177,2.92165980781024,27230.3599933583,34.9,15.532,0.411448448896408
141,ESP,2021,0.843258261680603,0.907896876335144,0.715437471866608,4.42272902452136,30817.6828559001,33.9,14.781,0.509235560894012
142,ESP,2022,0.799167692661285,0.920230388641357,0.685416162014008,4.52740675341745,30287.3657583614,35.15,12.917,0.318843424320221
143,ESP,2023,0.822885692119598,0.752065539360046,0.629368722438812,2.6512753496567,33509.0127982139,35.15,12.179,0.287291556596756
144,EST,2012,1.15094149112701,0.945922076702118,1.08829832077026,7.6916567949516,17568.2137969714,32.9,10.021,0.636465191841125
145,EST,2013,1.19137024879456,0.966788172721863,1.18144452571869,4.31393930629537,19310.3874900757,35.1,8.631,0.748215436935425
146,EST,2014,1.36985957622528,1.01121234893799,1.29877054691315,6.58511618123406,20581.7898991695,34.6,7.352,0.780257880687714
147,EST,2015,1.30050790309906,1.03593826293945,1.25537073612213,-3.06910519292015,17722.1557669523,32.7,6.412,0.613857269287109
148,EST,2016,1.19259226322174,1.05459797382355,1.23109316825867,3.7692325610639,18666.3736521706,31.2,6.882,0.662796258926392
149,EST,2017,1.24847757816315,1.07229030132294,1.20263087749481,6.31892721219604,20851.5223496861,30.4,5.807,0.642370760440826
150,EST,2018,1.20345735549927,1.15055811405182,1.46850371360779,4.08015832167199,23618.1361254581,30.3,5.412,0.580415546894073
151,EST,2019,1.2427259683609,1.13976681232452,1.52524757385254,9.76819364646981,24021.2501413306,30.8,4.514,0.630197763442993
152,EST,2020,1.33508813381195,1.29900670051575,1.58082056045532,12.0147752855703,23933.9939421065,30.7,6.956,0.709816992282867
153,EST,2021,1.38935804367065,1.34329342842102,1.50660848617554,20.306394906414,27953.7670230126,31.8,6.178,0.748589515686035
154,EST,2022,1.42628395557404,1.34263217449188,1.54471278190613,4.89320122469428,28451.1477825175,31.5,5.571,0.727880895137787
155,EST,2023,1.42638897895813,1.2634699344635,1.53812229633331,12.9586916615566,30133.304450454,31.5,6.378,0.660533905029297
156,FIN,2012,1.94403350353241,2.2103111743927,2.22684669494629,1.91512248449208,47551.6740841369,27.1,7.689,1.40076518058777
157,FIN,2013,1.95568263530731,2.18062210083008,2.20024275779724,-1.83489440736896,49691.0145200739,27.2,8.193,1.38517248630524
158,FIN,2014,2.1247615814209,2.02504563331604,2.15926671028137,6.41537482088507,50073.7760815871,26.8,8.663,1.28219723701477
159,FIN,2015,2.05303645133972,1.84316194057465,2.2156457901001,7.5380054292281,42560.3456767103,27.1,9.376,1.02799820899963
160,FIN,2016,2.00771570205688,1.84161901473999,2.18630695343018,2.18951964860612,43451.2562442158,27.1,8.818,0.982591867446899
