,Alpha3Code,CountryName,year,gdp
727,PRT,Portugal,2010,23592.4
728,PRT,Portugal,2011,22905.0
729,PRT,Portugal,2012,22400.8
730,PRT,Portugal,2013,23515.2
731,PRT,Portugal,2014,24264.5
732,PRT,Portugal,2015,24613.3
733,PRT,Portugal,2016,26072.4
734,PRT,Portugal,2017,26759.9
735,PRT,Portugal,2018,28077.4
736,PRT,Portugal,2019,30355.0
737,PRT,Portugal,2020,29449.6
738,PRT,Portugal,2021,31665.3
739,PRT,Portugal,2022,36079.7
740,PRT,Portugal,2023,38383.0
741,MDA,Republic of Moldova,2005,..
742,MDA,Republic of Moldova,2006,..
743,MDA,Republic of Moldova,2007,..
744,MDA,Republic of Moldova,2008,..
745,MDA,Republic of Moldova,2009,..
746,MDA,Republic of Moldova,2010,5572.5
747,MDA,Republic of Moldova,2011,6080.8
748,MDA,Republic of Moldova,2012,6477.0
749,MDA,Republic of Moldova,2013,7130.7
750,MDA,Republic of Moldova,2014,7458.5
751,MDA,Republic of Moldova,2015,7433.9
752,MDA,Republic of Moldova,2016,8253.8
753,MDA,Republic of Moldova,2017,8876.2
754,MDA,Republic of Moldova,2018,9014.3
755,MDA,Republic of Moldova,2019,10095.0
756,MDA,Republic of Moldova,2020,8798.9
757,MDA,Republic of Moldova,2021,10148.2
758,MDA,Republic of Moldova,2022,10566.7
759,MDA,Republic of Moldova,2023,..
760,ROU,Romania,2005,8388.3
761,ROU,Romania,2006,9785.4
762,ROU,Romania,2007,11338.7
763,ROU,Romania,2008,13386.8
764,ROU,Romania,2009,13176.2
765,ROU,Romania,2010,13795.0
766,ROU,Romania,2011,14663.9
767,ROU,Romania,2012,15537.6
768,ROU,Romania,2013,14883.0
769,ROU,Romania,2014,15508.3
770,ROU,Romania,2015,16282.3
771,ROU,Romania,2016,18496.8
772,ROU,Romania,2017,21144.2
773,ROU,Romania,2018,23837.2
774,ROU,Romania,2019,26864.1
775,ROU,Romania,2020,27532.1
776,ROU,Romania,2021,30187.5
777,ROU,Romania,2022,34047.9
778,ROU,Romania,2023,37810.0
779,RUS,Russian Federation,2005,8588.8
780,RUS,Russian Federation,2006,10740.4
781,RUS,Russian Federation,2007,11985.5
782,RUS,Russian Federation,2008,14669.6
783,RUS,Russian Federation,2009,15903.4
784,RUS,Russian Federation,2010,15599.2
785,RUS,Russian Federation,2011,15505.5
786,RUS,Russian Federation,2012,16870.1
787,RUS,Russian Federation,2013,18731.7
788,RUS,Russian Federation,2014,..
789,RUS,Russian Federation,2015,..
790,RUS,Russian Federation,2016,..
791,RUS,Russian Federation,2017,..
792,RUS,Russian Federation,2018,..
793,RUS,Russian Federation,2019,..
794,RUS,Russian Federation,2020,..
795,RUS,Russian Federation,2021,..
796,RUS,Russian Federation,2022,..
797,RUS,Russian Federation,2023,..
798,SRB,Serbia,2005,8926.7
799,SRB,Serbia,2006,10032.9
800,SRB,Serbia,2007,11138.6
801,SRB,Serbia,2008,12474.1
802,SRB,Serbia,2009,12282.7
803,SRB,Serbia,2010,12576.0
804,SRB,Serbia,2011,13461.4
805,SRB,Serbia,2012,13695.6
806,SRB,Serbia,2013,13836.6
807,SRB,Serbia,2014,13957.9
808,SRB,Serbia,2015,13717.7
809,SRB,Serbia,2016,14252.5
810,SRB,Serbia,2017,14995.0
811,SRB,Serbia,2018,15831.4
812,SRB,Serbia,2019,17442.7
813,SRB,Serbia,2020,17653.8
814,SRB,Serbia,2021,19577.7
815,SRB,Serbia,2022,22132.1
816,SRB,Serbia,2023,23616.9
817,SVK,Slovakia,2005,12042.6
818,SVK,Slovakia,2006,13789.6
819,SVK,Slovakia,2007,14977.0
820,SVK,Slovakia,2008,17170.0
821,SVK,Slovakia,2009,18143.6
822,SVK,Slovakia,2010,19046.4
823,SVK,Slovakia,2011,19227.4
824,SVK,Slovakia,2012,19914.3
825,SVK,Slovakia,2013,20505.5
826,SVK,Slovakia,2014,21277.3
827,SVK,Slovakia,2015,21791.0
828,SVK,Slovakia,2016,21981.3
829,SVK,Slovakia,2017,22743.5
830,SVK,Slovakia,2018,23534.2
831,SVK,Slovakia,2019,25824.1
832,SVK,Slovakia,2020,27798.3
833,SVK,Slovakia,2021,29894.8
834,SVK,Slovakia,2022,33921.1
835,SVK,Slovakia,2023,35154.5
836,SVN,Slovenia,2005,17035.6
837,SVN,Slovenia,2006,17760.3
838,SVN,Slovenia,2007,18681.9
839,SVN,Slovenia,2008,20312.6
