Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Nauru","NRU","32.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Nepal","NPL","NA","NA","NA","NA","NA","30","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Netherlands","NLD","27.6","28.1","28.6","28.2","NA","NA","25.7","26","29.2","28.1","28.5","28.2"
Gini index,"SI.POV.GINI","New Caledonia","NCL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","New Zealand","NZL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Nicaragua","NIC","NA","NA","46.2","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Niger","NER","NA","NA","34.3","NA","NA","NA","32.9","NA","NA","37.3","NA","NA"
Gini index,"SI.POV.GINI","Nigeria","NGA","35.5","NA","NA","35.9","NA","NA","NA","NA","NA","35.1","NA","NA"
Gini index,"SI.POV.GINI","Northern Mariana Islands","MNP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Norway","NOR","25.7","26.4","26.8","27.5","NA","NA","NA","NA","27.7","27.6","27","28.5"
Gini index,"SI.POV.GINI","Oman","OMN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Pakistan","PAK","NA","29.5","NA","31.3","NA","NA","NA","NA","NA","29.6","NA","NA"
Gini index,"SI.POV.GINI","Palau","PLW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Panama","PAN","51.7","51.5","50.5","50.8","48.9","NA","50.9","NA","49.8","49.2","49.9","50.4"
Gini index,"SI.POV.GINI","Papua New Guinea","PNG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
